# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Standard Edition
# File: E:\study\VGA_v\prj\output_files\VGA_demo1.csv
# Generated on: Tue May 14 14:56:59 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
OSC_50,Input,,,,PIN_A14,,,,,,
VGA_B[7],Output,PIN_D12,8,B8_N0,PIN_D12,2.5 V,,,,,
VGA_B[6],Output,PIN_D11,8,B8_N1,PIN_D11,2.5 V,,,,,
VGA_B[5],Output,PIN_C12,8,B8_N0,PIN_C12,2.5 V,,,,,
VGA_B[4],Output,PIN_A11,8,B8_N0,PIN_A11,2.5 V,,,,,
VGA_B[3],Output,PIN_B11,8,B8_N0,PIN_B11,2.5 V,,,,,
VGA_B[2],Output,PIN_C11,8,B8_N1,PIN_C11,2.5 V,,,,,
VGA_B[1],Output,PIN_A10,8,B8_N0,PIN_A10,2.5 V,,,,,
VGA_B[0],Output,PIN_A12,8,B8_N0,PIN_A12,2.5 V,,,,,
VGA_BLANK,Output,PIN_F11,8,B8_N1,PIN_F11,2.5 V,,,,,
VGA_CLK,Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
VGA_G[7],Output,PIN_C9,8,B8_N1,PIN_C9,2.5 V,,,,,
VGA_G[6],Output,PIN_F10,8,B8_N1,PIN_F10,2.5 V,,,,,
VGA_G[5],Output,PIN_B8,8,B8_N1,PIN_B8,2.5 V,,,,,
VGA_G[4],Output,PIN_C8,8,B8_N1,PIN_C8,2.5 V,,,,,
VGA_G[3],Output,PIN_H12,8,B8_N1,PIN_H12,2.5 V,,,,,
VGA_G[2],Output,PIN_F8,8,B8_N2,PIN_F8,2.5 V,,,,,
VGA_G[1],Output,PIN_G11,8,B8_N1,PIN_G11,2.5 V,,,,,
VGA_G[0],Output,PIN_G8,8,B8_N2,PIN_G8,2.5 V,,,,,
VGA_HS,Output,PIN_G13,8,B8_N0,PIN_G13,2.5 V,,,,,
VGA_R[7],Output,PIN_H10,8,B8_N1,PIN_H10,2.5 V,,,,,
VGA_R[6],Output,PIN_H8,8,B8_N2,PIN_H8,2.5 V,,,,,
VGA_R[5],Output,PIN_J12,8,B8_N0,PIN_J12,2.5 V,,,,,
VGA_R[4],Output,PIN_G10,8,B8_N1,PIN_G10,2.5 V,,,,,
VGA_R[3],Output,PIN_F12,8,B8_N1,PIN_F12,2.5 V,,,,,
VGA_R[2],Output,PIN_D10,8,B8_N1,PIN_D10,2.5 V,,,,,
VGA_R[1],Output,PIN_E11,8,B8_N1,PIN_E11,2.5 V,,,,,
VGA_R[0],Output,PIN_E12,8,B8_N1,PIN_E12,2.5 V,,,,,
VGA_SYNC,Output,PIN_C10,8,B8_N0,PIN_C10,2.5 V,,,,,
VGA_VS,Output,PIN_C13,8,B8_N0,PIN_C13,2.5 V,,,,,
